"region","quintil_riqueza","n","valor","peso_muestral","indicador","indicador_label","tipo_indicador","unidad"
"NOA","Medio",183,0.965543014669199,184.349375588006,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NOA","Cuarto",115,0.920362446773775,81.3446472429268,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NOA","Más rico",56,0.941841539986023,41.9573478743609,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Pampeana","Más pobre",302,0.957121882773158,660.917720887729,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Pampeana","Segundo",275,0.950359962150888,465.072149097583,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Pampeana","Medio",294,0.942618460233016,399.161896780804,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Pampeana","Cuarto",236,0.934218769970578,272.868288062226,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Pampeana","Más rico",293,0.971932531400493,261.69474780994,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Patagonia","Más pobre",37,0.783689663696018,18.0915269595773,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Patagonia","Segundo",58,0.935369587026663,31.1174914127922,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Patagonia","Medio",177,0.959643853324383,77.97698656067,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Patagonia","Cuarto",265,0.967912886175046,107.053012625576,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Patagonia","Más rico",176,0.980959518422662,62.9440919862088,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"AMBA","Más pobre",188,0.778340636530463,453.154637705402,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"AMBA","Segundo",233,0.818585339943481,609.693016267863,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"AMBA","Medio",156,0.878165411928599,300.026205495926,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
"AMBA","Cuarto",159,0.88047460168462,224.576736170186,"prop_objetos_hogar","Objetos del hogar/exterior","proporcion","porcentaje"
